word,human_translation,machine_translation,clients
89年为自由改奋斗牲的大学生,,89-year struggle for freedom to change college offerings,YY
89年的不幸事件,,89 years of unfortunate events,YY
89年的镇压,,89 years of repression,YY
六四平暴,,Sixty-four riot,YY
六四血腥屠杀,,Sixty-four bloody massacre,YY
广场被军队封锁与群众隔绝,,Square isolated military blockade and the masses,YY
解除戒严令撤军不秋后算帐取消新闻封锁,,Lifting of martial law to cancel the withdrawal does not grudge news blackout,YY
六四烛光晚会,,Sixty-four candlelight vigil,YY; LINE
六四烛光纪念,,Sixty-four Candlelight Memorial,YY
Tiananmenmassacre,,,YY
政府不会因此把对话的门关起来绝不会,,Government will not shut up the door to dialogue will never,YY
赵紫阳乔石及胡启立到医院探望绝食送院的学生,,Qiao Zhao Ziyang and Hu Qili to the hospital to visit the students on hunger strike hospitalized,YY
八九镇压,89 repression,Eighty-nine repression,YY
学潮事件,,Student strike incident,YY
绝食期间上街游行声援学生的群众与日俱增,,Marched in solidarity with the students during the fasting growing masses,YY
李鹏宣布解除在北京部分地区实行的戒严,,Li Peng announced the lifting of the implementation of martial law in parts of Beijing,YY
学生到天安门广场进行绝食,,Tiananmen Square student hunger strike,YY
89民运,,89 pro,YY
绝食已经到了第七天不能再这样下去了,,Has come to the seventh day of a hunger strike can not go on like this,YY
坦克血洗了饱学之士,,Tanks bloodbath learned scholar,YY
饱学之士开始反腐败,,Knowledgeable people start against corruption,YY
六月四日不能忘却的纪念,,June 4 memorial can not forget,YY
八九年北京天安门爆乱,,2089 Beijing Tiananmen explosive disorder,YY
天安门民主运动,,Tiananmen Square democracy movement,YY
在悲惨的六四纪念日李鹏看到了希望,,Tiananmen anniversary Li tragic to see hope,YY
天安门广场拦住坦克车,,Stopped the tanks in Tiananmen Square,YY
六4事件,,Six 4 Event,YY
严部队在北京天安门广场进行武力镇压,,Yan army crackdown in Beijing's Tiananmen Square by force,YY
89戒严,,89 curfew,YY
tiananmenSquareMassacre,,,YY
1989年大学生绝食,,1989 college students on hunger strike,YY
六4学运,,Six 4 student movement,YY
六四学运,,Sixty-four student movement,YY
因参与学潮被公安部列入通缉名单,,Their participation in the student movement was included in the Ministry of Public Security wanted list,YY
如果熱血可以換來自由,,If blood can be exchanged freely,YY
如果你们停止绝食政府不会因此把对话的门关起来,,If you stop the hunger strike the government will not shut up the door to dialogue,YY
希望你们早些结束绝食谢谢同学们,,I hope you will thank the students on hunger strike ended earlier,YY
你们绝食是希望党和政府对你们所提出的问题给以最满意的答复,,You hunger strike is to the party and the government on issues raised give you the most satisfactory answer,YY
军队开进了广场坦克和装甲车扬起炮筒,,Army tanks and armored vehicles drove into the square raised barrel,YY
政府害怕了怕人民的儿女怕自己的公民,,The government fears the people's fear of children afraid of their own citizens,YY
死亡令如毒蛇蜿延而行火从枪口喷出,,Death so as serpent cast meandering line of fire from the muzzle,YY
十里长街倒下年轻的躯体,Feng Congde (Person's name),Ten young bodies fall Strip,YY
多少人被卑鄙地屠杀卑鄙的屠杀何时能停,,When many people are despicable despicable massacre massacre can stop,YY
镇压继续着被驱散的人群隐蔽了声音,,Repression continues to be sound to disperse the crowd concealed,YY
中国平息反革命暴乱,,China quell counterrevolutionary riot,YY
八九年风波,,2089 storm,YY
89学潮,,89 Student Strike,YY
六四档案,,Sixty-four Archives,YY; LINE
绝食团和广场指挥部,,Mission Plaza headquarters hunger strike,YY
六四天安门事件,,Tiananmen Incident.,YY
六四亊件,,Sixty-four 亊 pieces,YY
八九年的学潮,Chai Ling (Person's name),2089 student movement,YY
89年进京镇压动乱,,Beijing to suppress unrest in 89 years,YY
1989年的四六事件,,1989 April 6 Incident,YY
89年事件,,89-year event,YY
天安门广场静坐绝食,,Tiananmen Square sit-in hunger strike,YY
六四政治风波,,Sixty-four political storm,YY
八九年六四,,June 1989,YY
北京市政府和戒严部队指挥部联合发出了措词更为严厉的第三项紧急通告,,Beijing Municipal Government and the troops headquarters jointly issued a harsher wording third Emergency information,YY
六四大屠杀,,June 4 massacre,YY
进行了大规模的内部清洗及修复工作清除血迹及弹痕,,Conducted a large-scale internal cleaning and repair work to clear blood and bullet,YY
中共血腥镇压,,CCP bloody crackdown,YY
会议最终将学生游行定性为动乱,,Students march meeting will eventually be characterized as unrest,YY
李鹏称事件是公开的向党挑衅,,Li said the event is an open challenge to the party,YY
清华大学和平请愿组织委员会,,Organizing Committee for the Peace petition Tsinghua University,YY
学生试图颠覆中共政权,,Students attempt to subvert the communist regime,YY
请求学生领袖在军队镇压前撤离,,Student leaders requested the withdrawal of the former army crackdown,YY
1989年六X事件,,1989 six X events,YY
十九年前学潮,,Nineteen years ago a student strike,YY
声援学生绝食,,Solidarity with the students on hunger strike,YY
天安门的屠杀,,Tiananmen massacre,YY
天安门大学生暴动,,Students Tiananmen uprising,YY
bajiu年学潮,,bajiu year student protests,YY
1989年的X四事件,,1989 X four events,YY
八九政治风波,,Eighty-nine political storm,YY
1989年的六4事件,,1989 Six 4 events,YY
89年64风波,,89 years 64 storm,YY
平反六四还政于民,,Vindication government to the people,YY
天安门广场民主运动,,Tiananmen Square democracy movement,YY
六四民主运动,,Sixty-four democracy movement,YY
六4学运时杀学生,,4 killed six students when the student movement,YY
天安门风波,,Tiananmen crisis,YY
四君子绝食,,Sijunzi hunger strike,YY
6四学潮,,6 four student protests,YY
1989年天x门广场,,1989 days x Gate Square,YY
六四镇压,June 4 crackdown,The crackdown,YY
平息首都反革命暴乱,June 4 crisis,Capital quell counterrevolutionary riot,YY
1989年事件,,1989 Event,YY
八九动乱,,Eighty-nine unrest,YY
镇压六四,,Repression sixty-four,YY
BloodisontheSquare,,,YY
平反六四,Vindication of June 4,Vindication,YY; LINE
纪念六四,,Memorial sixty-four,YY
64风波,64 turmoil,64 storm,YY
八九风波,89 turmoil,Eighty-nine storm,YY
89风波,June 4 incident,89 storm,YY
六四血案,,Sixty-four murder,YY
天安门大屠杀,,Tiananmen Square Massacre,YY; LINE
六四军事政变,,Sixty-four military coup,YY
六四屠城,,Sixty-four massacre,YY
天安门受难人,,Tiananmen suffering people,YY
六四回忆录,Wu'erkaixi (Person's name),Sixty-four memoirs,YY
血洗天安门,,Tiananmen bloodbath,YY
天安门旧魂新魄,,Tiananmen Jiuhunxinpo,YY
64事件,,64 events,YY
64运动,,64 sports,YY
六四运动,,Sixty-four sports,YY
89年政治风波,,89 years of political turmoil,YY
六四动乱,,Sixty-four unrest,YY
89年动乱,,89 years of turmoil,YY
1989年动乱,,1989 unrest,YY
六四天网,,Tianwang,YY
六四照片,,Sixty-four photo,YY
六四两大政治风暴,,Sixty-four two political turmoil,YY
反对镇压学生而下台,,Suppression of the student opposition to step down,YY
赵紫阳被软禁,,Zhao was placed under house arrest,YY
为前中共总书记赵紫阳平反,,For the former Communist Party General Secretary Zhao Ziyang vindicated,YY
北京维权人士李金平,http://www.boxun.com/news/gb/china/2015/03/201503041039.shtml#.VUv8OnUVhBc,Beijing activist Li Jinping,YY
李金平被捕,http://www.boxun.com/news/gb/china/2015/03/201503041039.shtml#.VUv8OnUVhBc,Li Jinping arrested,YY
中南海高呼平反赵紫阳,,Zhongnanhai shouting vindicated Zhao Ziyang,YY
温家宝难以迴避六四问题,,Wen unavoidable problem sixty-four,YY
赵紫阳软禁中的谈话,,Zhao under house arrest in conversation,YY
赵紫阳到天安门广场探望绝食的学生,,Zhao Ziyang to Tiananmen Square to visit the students on hunger strike,YY
89事件,,89 events,YY; LINE
64时期,,64 times,YY
89时期,,89 times,YY
八九事件,89 event,Eighty-nine event,YY
六四刽子手,,Sixty-four executioner,YY
8964屠杀学生,,8964 student massacre,YY
天安门屠杀学生,,Tiananmen Square massacre of students,YY
1989年5月集团军部队参加执行北京戒严任务,,Army troops in May 1989 to participate in the implementation of martial law in Beijing mission,YY
6月4日凌晨在向天安门广场武力挺进,1989 Democracy Movement,June 4 Tiananmen Square before dawn in advance to force,YY
6月4日清晨在天安门广场清场行动中,,In the early morning of June 4 Tiananmen Square in the clearance operation,YY
在天安门广场上或绝食卧地,,On a hunger strike in Tiananmen Square or lying,YY
悼念六四,,June 4th memorial,YY
中共屠杀的学生,,Communist student massacre,YY
64影片,,64 videos,YY
89影片,,89 videos,YY
89年春夏之交,,Spring and summer 1989,YY
天安门广场为中心的惊天动地的大事件,,Tiananmen Square is the center of the big event earthshaking,YY
20年前被迫害和镇压的人物和事件,,20 years of persecution and repression by the characters and events,YY
一九八九记忆的呼唤,Six four truth,One thousand nine hundred eighty-nine memory Call,YY
解决64,,Solve 64,YY
64真相,,64 Truth,YY
64和解,,64 Reconciliation,YY
六四原因,,Sixty-four reason,YY
六四活动,,Sixty-four Activities,YY
解决六四,,Solve sixty-four,YY
六四和解,,Sixty-four reconciliation,YY
89年的春夏之交,,1989 spring and summer,YY
六四和解委员会,,Sixty-four Reconciliation Commission,YY
邓小平和李鹏应当对此承担法律责任,,Deng Xiaoping and Li Peng should have to bear the legal responsibility,YY
外媒提六四问题,,Foreign media mention sixty-four problem,YY
寻访六四受难者,,Victims of searching sixty-four,YY
天安门血腥清场内幕,,Insider bloody Tiananmen clearance,YY
呼吁查处89年邓小平等屠杀市民暴行书,,Deng Xiaoping called for investigation of the massacre 89 years public outrage book,YY
1989大学生事件,,1989 Students Event,YY
1989年春夏政治风波,,1989 spring and summer of political turmoil,YY
1989北京事件,,1989 Beijing event,YY
1989风波,,1989 storm,YY
1989事件,,1989 Event,YY
1989学潮,,1989 student protests,YY
1989年政治风波,,1989 political turmoil,YY
邓小平1989,,Deng Xiaoping 1989,YY
1989年天安门事件,,1989 Tiananmen Square massacre,YY
1989天安门事件,,1989 Tiananmen Incident,YY
天安门1989,,Tiananmen 1989,YY; LINE
19890604事件,,"19,890,604 event",YY
19890604北京事件,,"19,890,604 Beijing event",YY
198964风波,,"198,964 storm",YY
198964事件,,"198,964 event",YY
天安门自焚,,Tiananmen Square self-immolation,YY
天安门shijia,,Tiananmen shijia,YY
89的惨痛,,89 painful,YY
64的惨痛,,64 painful,YY
89屠杀,,89 massacre,YY
64屠杀,,64 massacre,YY
89学运,,89 student movement,YY
64学运,,64 student movement,YY
64惨案,,64 tragedy,YY
六四惨案,,Sixty-four massacre,YY
64戒严,,64 martial law,YY
六四戒严,,Sixty-four martial law,YY
一九八九六四,,One hundred ninety-eight thousand nine hundred sixty-four,YY
sixfour事件,,sixfour event,YY
20年前6月4日,,"20 years ago, June 4",YY
天安门枪杀,,Tiananmen Square shootings,YY
xue潮,upheavel,xue tide,YY
1989年6月四日,,"June 4, 1989",YY
1989年六月4日,,"June 4, 1989",YY
1989年六月四日,,"June 4, 1989",YY
1989政治风波,,1989 political storm,YY
一九八九政治风波,,One thousand nine hundred eighty-nine political storm,YY
一九八九年六月四日,,"June 4, 1989",YY
89政治,,89 political,YY
89运动,,89 sports,YY
liousi事件,,liousi event,YY
赵紫阳录音回忆录,,Zhao recording memoirs,YY
七十天大事记,,Seventy days Memorabilia,YY
胡耀邦病逝到赵紫阳解职,,Hu Yaobang and Zhao Ziyang died to dismissal,YY
89的六月肆号,,June 89 store numbers,YY
89事变,,89 Incident,YY
89dongluan,,,YY
惊心动魄的56天,,Thrilling 56 days,YY
70天大事记,,70 days Memorabilia,YY
六四天安门,June 4 Tiananmen,Tiananmen,YY
天安门shijian,,Tiananmen shijian,YY
六四烛光集会,,Sixty-four candlelight vigil,YY
六四中共暴行,,Sixty-four Communist atrocities,YY
六四20周年纪念,,To commemorate the 20th anniversary of sixty-four,YY
1989年的学潮,,1989 Student Strike,YY
1989年民运,,1989 pro-democracy movement,YY
1989年六四,,"June 4, 1989",YY
1989年学潮,,1989 Student Strike,YY
1989年天安门学生暴动,,1989 Tiananmen Square student uprising,YY
1989反革命,,1989 counterrevolution,YY
1989革命,,1989 Revolution,YY
1989天安门暴动,,1989 Tiananmen Square uprising,YY
1989天安门民运,,1989 Tiananmen Square pro-democracy movement,YY
1989中国大事件,,1989 Chinese Grand Event,YY
1989大学生造反,,1989 Students revolt,YY
1989政治动乱,,1989 political unrest,YY
天安门19890604,,"Tiananmen 19,890,604",YY
中国1989年发生的事,,China thing happened in 1989,YY
1989年6.4运动,,1989 6.4 Movement,YY
1989年风波,,1989 storm,YY
1989年学生动乱真相,,1989 student unrest truth,YY
1989年中国广场重大事件,,1989 Chinese Square events,YY
1989年学潮视频,,1989 Student Strike Video,YY
1989学生运动,,1989 student movement,YY
1989反革命暴乱,,1989 counterrevolutionary riot,YY
1989大学生民主革命,,1989 Students' Democratic Revolution,YY
天和安谐门事件,,An harmonic door event day,YY
天安men事件,,Men Cheonan incident,YY
陆百度肆,,Lu Baidu store,YY
1九吧9,,A nine bar 9,YY
血巢事件,student upheavel events?,Blood Nest Event,YY
1989tam,,,YY
学和谐chao,student harmonious protest?,Learn harmony chao,YY
陆4英魂,,Lu 4 souls,YY
豺龄,Chai Ling,Jackal age,YY
遛越寺日,,Liuyuesiri,YY
纪念柳丝,,Memorial Stir,YY
毋忘六四,Never Forget June 4,Not forget sixty-four,YY
六四纪实,,Sixty-four documentary,YY
平反八九民运,,Vindicate the pro-democracy movement,YY
天安门镇压事件,,Tiananmen crackdown,YY
陆四事件,,Lu four events,YY
tam母亲,,tam mother,YY
64英魂,,64 souls,YY
六四英魂,,Sixty-four souls,YY
件事四六,,Thing forty-six,YY
陆肆风波,,Lusi storm,YY
陆肆事件,,Lusi event,YY; LINE
六④20年祭,,Six years of sacrifice ④20,YY
4学运的内幕真相,,Insider Truth 4 student movement,YY
june4th89,,,YY
89共和国卫士,,89 Republic Guard,YY
89年民主运动,,1989 Democracy Movement,YY
89年64,,89 64,YY
89年的动乱,,89 years of turmoil,YY
89动乱,,89 unrest,YY
64大屠杀,,64 massacre,YY
木樨地大屠杀,Muxidi massacre,Sweetclover massacre,YY
liusi事件,,liusi event,YY
一久八久,,A long eight years,YY
五月35号,,May 35,YY
八九大学生爆动,,Students riot eighty-nine,YY
溜月4日,,Slip January 4,YY
8九6四,,Eight nine six four,YY
631事件,,631 events,YY
柴百度玲,Chai Ling,Baidu Chai Ling,YY
柴和谐玲,Chai Ling,Chai Ling harmony,YY
六四坦克,June 4 tank,Sixty-four tank,YY
一九8玖年,,Nine years nineteen 8,YY
tianan门事件,,tianan scandal,YY
1989年6yue四日,,"6yue 24, 1989",YY
daysafedoor,,,YY
刘月寺日,,Liu Yue Temple Day,YY
六月fourth,,June fourth,YY
4420事件,,4420 Event,YY
贰⑩年,,II ⑩ years,YY
天鞍们,,They saddle day,YY
天按扪事件,,Day by palpable event,YY
zhenyadaxuesheng运动,Suppress the student movement,zhenyadaxuesheng sports,YY
20和谐年,20 harmonious years?,20 Harmony,YY
sky安do0r,,An do0r sky,YY
liu月4日,,liu March 4,YY
八9动乱,,Eight nine unrest,YY
6河蟹4,,6 crab 4,YY
6月百度4,,Baidu June 4,YY
六月河蟹四,,June crab four,YY
6月河蟹4,,June 4 crab,YY
六月百度四,,June Baidu four,YY
陆4学朝,,Lu 4 toward school,YY
吴儿开西,,Wu children open West,YY
尔吾开西,,I opened the West Seoul,YY
八合谐九,,Eight nine harmony,YY
纪念liusi,,Memorial liusi,YY
六驷屠杀,,Six Si massacre,YY
64二十周年,,64 twentieth anniversary,YY
89陆十四,,89 Miss fourteen,YY
爸课油型,Code for 89 march?,Dad oil-lesson,YY
六越似日,,Liuyuesiri,YY
北京血潮,Beijing student protest,Beijing blood tide,YY
89年坦克无情,,89 years of relentless Tank,YY
student河蟹潮,student harmonious upheavel?,crab student influx,YY
6死实践,6 4 events,6 dead Practice,YY
六si事件,,Six si event,YY
捌玖年陆月肆日,,Nine months in Ba Lu wantonly Day,YY
六丝事件,,Six wire event,YY
勿忘64,,Do not forget 64,YY
20年前柳丝,,20 years ago Stir,YY
6和谐4,,Harmony 4 6,YY
陆肆2o周年,,Lusi 2o anniversary,YY
柳丝运动,,Stir sports,YY
北京暴乱,,Beijing riots,YY
89学生运动,,89 student movement,YY
天按们,,Days by their,YY
己巳国殇,,Baba War,YY
天安门是件,,Tiananmen Square is a,YY
六四襟章,,Sixty-four Badge,YY
田暗门思件,,Tian trapdoor think pieces,YY
89shi件,,89shi pieces,YY
六四天安門,,Tiananmen,YY
6four事件,,6four event,YY
八久雪巢,Beijing student protest,Bajiuxuechao,YY
捌玖年天暗们,,Nine years have Ba Tian,YY
广场坦克事件,,Square tanks event,YY
柳丝20周年,,Stir 20th anniversary,YY
陆肆自由运动,,Lusi freedom movement,YY
5yue35ri,89 64,,YY
19890604,,,YY
6s事件,,6s event,YY
爸舅年事件,,Dad uncle Event,YY
土旦克艽言平,,Dankejiaoyan flat earth,YY
89年六月初四,,"On the fourth day, June 89",YY
①勼仈勼姩,,① Jiubajiunian,YY
壹玖捌九零六零肆,,Jiu Ba nine thousand and sixty store,YY
89xuechao,,,YY
8平方事件,,8 square Event,YY
党向学生开枪,,Party to students shot,YY
天安门惨案,,Tiananmen massacre,YY
一九8906零四,,Nineteen 8906 104,YY
tank门,,tank door,YY
thegateofheavenlypeace,http://en.wikipedia.org/wiki/The_Gate_of_Heavenly_Peace,,YY
平翻64,,Flat turn 64,YY
64动和谐乱,,64 move in harmony chaos,YY
舒克和大学生,,Shook and college students,YY
tam前压路机,,tam front roller,YY
89年到底怎么,,89 years in the end how,YY
8的平方那天,,Day 8 square,YY
大学生挡tan克,,Students block tan g,YY
liu4xue潮,,liu4xue tide,YY
tam聚会,,tam gatherings,YY
8乘以8事件,,8 multiplied by 8 events,YY
高某联,,High of a Union,YY
天某门事件,,Day of a scandal,YY
six月four号,,six months four numbers,YY
克坦动出敢,,Kodan dare move out,YY
陆风四波,,Landwind four-wave,YY
血洗京城,,Bloodbath capital,YY; LINE
屠沙学生,Slaughter student,Tu sand student,YY
历史的大爆炸,,History of the Big Bang,YY
六四事件全景实录,,June incident panoramic Record,YY
平反64,,64 rehabilitated,YY
怀念6四,,Miss six four,YY
怀念六4,,Miss six 4,YY
怀念6月4,,Miss the June 4,YY
怀念6月四,,Miss the June 4,YY
怀念六月4,,Miss the June 4,YY
怀念六月四,,Miss the June 4,YY
缅怀6四,,The memory of 6 four,YY
缅怀六4,,Cherish the memory of six 4,YY
缅怀六四,,Nostalgia sixty-four,YY
缅怀6月4,,Cherish the memory of June 4,YY
缅怀6月四,,Cherish the memory of June 4,YY
缅怀六月4,,Cherish the memory of June 4,YY
缅怀六月四,,Cherish the memory of June 4,YY
缅怀64,,64 recall,YY
怀念64,,Miss 64,YY
怀念六四,,Miss sixty-four,YY
6四怀念,,6 four missed,YY
六4怀念,,4 miss six,YY
六月4怀念,,June 4 miss,YY
六月四怀念,,June 4 miss,YY
6月4怀念,,June 4 remembrance,YY
6月四怀念,,June 4 remembrance,YY
64怀念,64 memorials,64 missed,YY
六四怀念,,Sixty-four miss,YY
6四纪念,,6 four Memorial,YY
64信息,,64 Information,YY
六月4纪念,,June 4 Memorial,YY
六月四纪念,,June 4 Memorial,YY
6月4纪念,,June 4 Memorial,YY
6月四纪念,,June 4 Memorial,YY
64纪念,,64 Memorial,YY
六月四日纪念,,June 4 Memorial,YY
6月4日纪念,,June 4 Memorial,YY
6月四日纪念,,June 4 Memorial,YY
纪念6四,,Memorial six four,YY
纪念六月4,,Commemorate June 4,YY
纪念六月四,,Commemorate June 4,YY
纪念6月4,,Commemorate June 4,YY
纪念6月四,,Commemorate June 4,YY
绿月肆日,,Lvyuesiri,YY
尔吾希开,,Erwuxikai,YY
6四真相,,6 Four Truths,YY
6四运动,,6 four sports,YY
八的平方事件,,Eight square event,YY
2×10年前的事,,2 × 10 years ago,YY
六屎事件,,Six feces event,YY
8的平方事件,,8 square event,YY
添安闷事见,,Tim Ann boring thing to see,YY
陆4学运,,Lu 4 student movement,YY
i989陆4,,i989 land 4,YY
陆4运动,,Lu 4 Movement,YY
捌9年6肆,,Ba 9 June wantonly,YY
8*8事件,,8 * 8 events,YY
8玖年柳月食日,,Nine years 8 Willow eclipse day,YY
壹九8玖,,One nine eight Nine,YY
64重演,,64 repeat,YY
tiananmensquare,,,YY
六4学朝,,Six four school towards,YY
八9学朝,,Eight 9 toward school,YY
6四学朝,,6 towards four school,YY
8九学朝,,8 towards nine school,YY
tam事件,,tam event,YY
八九年6月4日,,"June 4, 2089",YY
⑥肆运动,,⑥ wantonly sport,YY
②⑩zhou年,,②⑩zhou years,YY
天按door,,Day by door,YY
89学朝,,89 toward school,YY
学朝运动,,Movement toward school,YY
陆肆餐安,,Lusi food safety,YY
89t安门,,89t Yasukado,YY
柳丝民运,,Stir pro,YY
天x门事件,Wu'erkaixi,Day x scandal,YY
添安门,,Tim Yasukado,YY
t安门zf,,t Tiananmen zf,YY
刘四田安门,,Liu Tian four Yasukado,YY
吾尔剀西,,Ur Kelly West,YY
学生挡坦克,,Students block tanks,YY
肉身挡坦克,,Tank body block,YY
肉阻挡坦克,,Meat stop tanks,YY
52开洗,,52 open wash,YY
6四8九,,Six four eight nine,YY
刘四事件,,Liu four events,YY
52kaixi,,,YY
52开希,,52 Kaixi,YY
市民挡住钢甲坦克,,Armor tanks blocking the public,YY
五尔开希,,Five Seoul Kaixi,YY
刘月四号,,Liu fourth month,YY
铭记6四,,Bearing in mind the six four,YY
64内部日记,,64 internal diary,YY
64日记,,64 Diary,YY
六四内部日记,,Sixty-four internal diary,YY
捌玖陸肆,,Jiu Ba Lusi,YY
北京动乱,,Beijing unrest,YY
广场上的鲜血,,Blood on the square,YY
柳丝shijian,,Stir shijian,YY
liusi记录片,,liusi documentary,YY
六四的内幕,,June Fourth Insider,YY
bajiushibian,,,YY
天安们事变,,Tiananmen Incident,YY
64事变,,64 Incident,YY
8加9事件,,8 plus 9 events,YY
不能忘却的纪念,,Can not forget the Memorial,YY
国家的囚徒,,Prisoner countries,YY
国家的囚犯,,Prisoners countries,YY
64动百度乱,,64 moving Baidu chaos,YY
六和谐四,,Six harmonious four,YY
s1xf0ur,,,YY
陆玥肆,,Lu Yue store,YY
天和谐安,,An harmonious day,YY
tiananmen绝食,,tiananmen hunger strike,YY
89年某位画圈,,Reviewed by a circle 89 years,YY
学百度潮,,Learn Baidu tide,YY
学和谐潮,,Learn harmony tide,YY
学河蟹潮,,Learn crab tide,YY
89年的6月4日,,1989 June 4,YY
胡和谐耀,,Hu Yao harmony,YY
波风四六,,Wave Wind forty-six,YY
89年6和4,,89 June and 4,YY
89年学x,,89 years of schooling x,YY
tiananmen事件,,tiananmen event,YY
六河蟹四,,Six crab four,YY
六百度四,,Six Baidu four,YY
捌96肆,,96 Ba store,YY
天安door,,Tian door,YY
六月和谐四日,,"June 24, Harmony",YY
柳丝事件,,Stir event,YY
tankman,,,YY
8x8运动,,8x8 sport,YY
8x8事件,,8x8 Event,YY
20年薪火,,20 salary fire,YY
64伤痛历史,,64 pain history,YY
六四烛光,,Sixty-four candlelight,YY; LINE
六四感言,,Sixty-four reflections,YY
sky按们,,sky by their,YY
33月22号,,33 May 22,YY
33月22日,,33 May 22,YY
八九暴动,,Eighty-nine riots,YY
八九暴乱,,Eighty-nine riots,YY
89暴乱,,89 riots,YY
六四暴乱,,Sixty-four riots,YY
六四暴动,,Sixty-four riots,YY
六四平反,June 4 vindication,Sixty-four vindicated,YY
六四枪击,,Sixty-four shootings,YY
六四枪杀,,Sixty-four shot,YY
八乘八事件,,Eight by eight events,YY
8乘8事件,,8 by 8 events,YY
6四20year,,6 four 20year,YY
中国大虐杀史,,Massacre History of China,YY
天安门大虐杀,,Tiananmen Square Massacre,YY
天安门白T恤,,Tiananmen white T-shirt,YY
20周年大游行,,20th Anniversary Parade,YY
民运大游行,,Pro-democracy march,YY
香港支联会大游行,,Hong Kong Alliance Parade,YY
天安门文化衫游行,,Tiananmen shirt parade,YY
天安门白衣文化衫行动,,Tiananmen white shirt action,YY
坦克碾压学生,,Tanks rolling student,YY
64学生坦克,,64 students tanks,YY
三十八军军长,,Thirty-eight Corps,YY
三十八军长,,Thirty-eight commander,YY
军长徐先勤,,Commander Xu Xianqin,YY
紫阳回忆录,Zhao Ziyang,Ziyang memoirs,YY
64文化传播,64 Cultural Communication,64 Communication,YY
六四文化传播,,Sixty-four cultural communication,YY
64文化祭,,64 Culture Festival,YY
六四文化祭,,Sixty-four Cultural Festival,YY
6420周年,Wu'erkaixi (Person's name),6420 anniversary,YY
民运手册,,Pro manual,YY
秘密录音回忆录,Zhao Ziyang's secret recordings,Secret recordings memoirs,YY
六四万岁,,Viva sixty-four,YY
64万岁,,64 Viva,YY
六四之殇,,Sixty-four Shame,YY
64之殇,Deaths of 64,64 of the War,YY
1989那事,,1989 that thing,YY
大学生事件,,Students Event,YY
1989历史,,1989 History,YY
天安事件,,Cheonan incident,YY
89记录片,,89 documentary,YY
天安门大事,,Tiananmen events,YY
遛寺事件,,Stroll the Temple event,YY
溜寺事件,,Temple slip event,YY
没收象征六四争取,,Confiscate symbol sixty-four fight,YY
天安门广场上的示威者竖立女神像,,Tiananmen Square protesters erected on the goddess,YY
内的十多名支持者到北,,Within a dozen supporters of the North,YY
夺走支联会在时代广,,In the era of widely claimed Alliance,YY
二十一周年游行,,Twenty-one anniversary parade,YY
21周年游行,,21 anniversary parade,YY
悼念6四,,Mourn six four,YY
悼念六4,,Mourn six 4,YY
悼念64,,64 memorial,YY
21年前天安门,,Tiananmen Square 21 years ago,YY
21年前天安门广场清场,,Cleared Tiananmen Square 21 years ago,YY
天安门屠杀浮雕,,Tiananmen massacre relief,YY
6421周年,,6421 anniversary,YY
六四二十一周年,,Twenty-one Tiananmen anniversary,YY
六四21周年,,21 anniversary sixty-four,YY
天安门暴乱,,Tiananmen Square riots,YY
64年事件,,64-year event,YY
纪念8964,,Memorial 8964,YY
1989年学运,,1989 student movement,YY
骑摩托车冲击邓小平,,Motorcycle shock Deng Xiaoping,YY
派军队进入北京及实施戒严,,Sent troops into Beijing and the imposition of martial law,YY
天安门示威活动失控,Liu Xiaobo (person's name),Tiananmen protests out of control,YY
六四前后的杀戮,,Tiananmen killings before and after,YY
天安门流血事件,,Tiananmen bloodshed,YY
李鹏六四,,Li sixty-four,YY
64血案,,64 murder,YY
64平反,64 vindication,64 rehabilitated,YY
北京发生反革命暴乱,,Beijing counterrevolutionary riot occurred,YY
1989六月四日,,4 June 1989,YY
89真相,,89 Truth,YY
1989发生的事,,1989 things happen,YY
6month4day,,,YY
89年6月发生的事,,What happened on June 89,YY
four惨案,,four massacre,YY
four运动,,four sports,YY
four事件,,four events,YY
sixfour,,,YY
89年的那次事件,,89 years of the incident,YY
陆月肆日,,Luyuesiri,YY
89年的那件大事,,89 years of that great,YY
89学生风暴,,89 students storm,YY
1989年的暴乱,,1989 riots,YY
六罒,,Six 罒,YY
学生在广场静坐,,Student sit-in in the square,YY
春夏之交的动乱,,Spring and summer of unrest,YY
89年的学朝,,89 years of study toward,YY
89的大事,,89 event,YY
89有政治事件,,89 political events,YY
带部队杀大学生,,Students with troops killed,YY
89发生了什么事,,What happened 89,YY
89年发生的事,,What happened 89 years,YY
天安门上的集会,,Rally on Tiananmen Square,YY
死于八乘八,,Died eight by eight,YY
20年前的破事,,"20 years ago, broken things",YY
螳臂当车八乘八,,Mantis arm when the car is eight by eight,YY
学生yundong,student movement,Students yundong,YY
bajiu年,,bajiu years,YY
21年前的乱局,,21 years of chaos,YY
eightnine动乱,,eightnine unrest,YY
二十一年前广场,,Square 21 years ago,YY
25年前六月,,25 years ago in June,YY
二十捻前,,Twenty twist ago,YY
25年前春夏之交,,"25 years ago, spring and summer",YY
25年前的那件事,,That thing 25 years ago,YY
田安们,,Tian who,YY
BAJIU事件,,BAJIU event,YY
89雪巢,,89 snow nest,YY
八九雪巢,,Eighty-nine snow nest,YY
liusiyundong,,,YY
纪录片天安门,,Documentary Tiananmen,YY
Square事件,,Square event,YY
